Longitude,Latitude,Pixel,Scan
76.2753594,-89.9188016,2800,300
76.9266337,-89.9183633,2900,300
77.5708186,-89.9179146,3000,300
78.2078691,-89.9174557,3100,300
78.8377485,-89.9169868,3200,300
79.4604277,-89.916508,3300,300
80.0758849,-89.9160195,3400,300
80.6841058,-89.9155214,3500,300
81.2850827,-89.915014,3600,300
81.8788146,-89.9144974,3700,300
82.4653065,-89.9139718,3800,300
83.0445698,-89.9134374,3900,300
83.616621,-89.9128942,4000,300
84.1814823,-89.9123425,4100,300
84.7391808,-89.9117825,4200,300
85.2897483,-89.9112143,4300,300
85.8332213,-89.910638,4400,300
86.3696401,-89.9100538,4500,300
86.8990491,-89.909462,4600,300
87.4214964,-89.9088625,4700,300
87.9370334,-89.9082556,4800,300
88.4457145,-89.9076415,4900,300
88.9475971,-89.9070202,5000,300
89.4427414,-89.9063919,5100,300
89.9312097,-89.9057568,5200,300
90.4130667,-89.9051151,5300,300
90.8883791,-89.9044667,5400,300
91.3572153,-89.9038119,5500,300
91.8196455,-89.9031508,5600,300
92.275741,-89.9024836,5700,300
92.7255748,-89.9018103,5800,300
93.1692206,-89.9011311,5900,300
93.6067533,-89.9004462,6000,300
94.0382485,-89.8997555,6100,300
94.4637825,-89.8990594,6200,300
94.8834322,-89.8983578,6300,300
95.2972746,-89.8976508,6400,300
95.7053875,-89.8969387,6500,300
96.1078484,-89.8962215,6600,300
96.5047353,-89.8954993,6700,300
96.8961259,-89.8947722,6800,300
97.2820979,-89.8940404,6900,300
97.6627288,-89.8933039,7000,300
98.0380961,-89.8925627,7100,300
98.4082766,-89.8918172,7200,300
98.7733469,-89.8910672,7300,300
99.1333833,-89.8903129,7400,300
99.4884613,-89.8895544,7500,300
99.838656,-89.8887918,7600,300
100.184042,-89.8880252,7700,300
100.524693,-89.8872546,7800,300
100.860683,-89.8864802,7900,300
101.192083,-89.885702,8000,300
101.518966,-89.8849201,8100,300
101.841403,-89.8841345,8200,300
102.159463,-89.8833454,8300,300
102.473216,-89.8825529,8400,300
102.782731,-89.8817569,8500,300
103.088076,-89.8809576,8600,300
103.389316,-89.880155,8700,300
103.686519,-89.8793492,8800,300
103.979749,-89.8785403,8900,300
104.26907,-89.8777283,9000,300
104.554546,-89.8769134,9100,300
104.836238,-89.8760954,9200,300
105.114209,-89.8752746,9300,300
105.388519,-89.874451,9400,300
105.659227,-89.8736246,9500,300
105.926392,-89.8727955,9600,300
106.190073,-89.8719637,9700,300
106.450325,-89.8711293,9800,300
106.707205,-89.8702924,9900,300
106.960767,-89.869453,10000,300
107.211067,-89.8686111,10100,300
107.458157,-89.8677668,10200,300
107.70209,-89.8669202,10300,300
107.942916,-89.8660713,10400,300
108.180688,-89.86522,10500,300
108.415454,-89.8643666,10600,300
108.647264,-89.863511,10700,300
108.876165,-89.8626533,10800,300
109.102206,-89.8617935,10900,300
109.325432,-89.8609316,11000,300
109.545889,-89.8600677,11100,300
109.763622,-89.8592019,11200,300
109.978675,-89.8583341,11300,300
110.191091,-89.8574644,11400,300
110.400914,-89.8565928,11500,300
110.608183,-89.8557195,11600,300
110.812942,-89.8548443,11700,300
111.015229,-89.8539674,11800,300
111.215085,-89.8530888,11900,300
111.410585,-89.8522172,11999,300
55.6595129,-89.9272308,0,400
56.4643413,-89.9271447,100,400
57.2670445,-89.9270443,200,400
58.0673177,-89.9269296,300,400
58.8648611,-89.9268007,400,400
59.6593817,-89.9266577,500,400
60.4505932,-89.9265007,600,400
61.2382165,-89.9263297,700,400
62.0219807,-89.926145,800,400
62.8016234,-89.9259464,900,400
63.5768907,-89.9257343,1000,400
64.3475382,-89.9255087,1100,400
65.113331,-89.9252697,1200,400
65.8740442,-89.9250175,1300,400
66.6294629,-89.9247522,1400,400
67.3793825,-89.9244739,1500,400
68.1236091,-89.9241828,1600,400
68.8619591,-89.9238791,1700,400
69.5942599,-89.9235628,1800,400
70.3203494,-89.9232342,1900,400
71.0400764,-89.9228934,2000,400
71.7533002,-89.9225406,2100,400
72.4598907,-89.9221759,2200,400
73.1597284,-89.9217996,2300,400
73.8527039,-89.9214117,2400,400
74.5387182,-89.9210125,2500,400
75.2176821,-89.9206021,2600,400
75.8895163,-89.9201808,2700,400
76.5541508,-89.9197486,2800,400
77.2115249,-89.9193057,2900,400
77.8615869,-89.9188525,3000,400
78.5042937,-89.9183889,3100,400
79.1396107,-89.9179152,3200,400
79.7675113,-89.9174316,3300,400
80.3879764,-89.9169382,3400,400
81.0009948,-89.9164353,3500,400
81.6065619,-89.915923,3600,400
82.2046802,-89.9154014,3700,400
82.7953584,-89.9148708,3800,400
83.3786115,-89.9143313,3900,400
83.9544601,-89.913783,4000,400
84.5229304,-89.9132263,4100,400
85.0840537,-89.9126611,4200,400
85.637866,-89.9120878,4300,400
86.1844081,-89.9115064,4400,400
86.7237247,-89.9109171,4500,400
87.2558647,-89.91032,4600,400
87.7808806,-89.9097154,4700,400
88.2988282,-89.9091034,4800,400
88.8097664,-89.908484,4900,400
89.3137572,-89.9078576,5000,400
89.8108649,-89.9072242,5100,400
90.3011565,-89.906584,5200,400
90.784701,-89.905937,5300,400
91.2615693,-89.9052836,5400,400
91.7318343,-89.9046237,5500,400
92.1955701,-89.9039575,5600,400
92.6528525,-89.9032852,5700,400
93.1037583,-89.9026069,5800,400
93.5483653,-89.9019227,5900,400
93.9867525,-89.9012327,6000,400
94.4189991,-89.9005371,6100,400
94.8451853,-89.899836,6200,400
95.2653916,-89.8991295,6300,400
95.6796988,-89.8984177,6400,400
96.088188,-89.8977007,6500,400
96.4909403,-89.8969786,6600,400
96.8880368,-89.8962516,6700,400
97.2795587,-89.8955198,6800,400
97.6655868,-89.8947832,6900,400
98.0462017,-89.8940419,7000,400
98.4214837,-89.8932962,7100,400
98.7915126,-89.8925459,7200,400
99.1563679,-89.8917913,7300,400
99.5161285,-89.8910325,7400,400
99.8708726,-89.8902695,7500,400
100.220678,-89.8895024,7600,400
100.565621,-89.8887313,7700,400
100.905779,-89.8879563,7800,400
101.241227,-89.8871775,7900,400
101.57204,-89.8863949,8000,400
101.898291,-89.8856087,8100,400
102.220053,-89.8848189,8200,400
102.5374,-89.8840255,8300,400
102.850402,-89.8832288,8400,400
103.159129,-89.8824286,8500,400
103.463651,-89.8816252,8600,400
103.764037,-89.8808185,8700,400
104.060354,-89.8800087,8800,400
104.352669,-89.8791958,8900,400
104.641048,-89.8783798,9000,400
104.925555,-89.8775609,9100,400
105.206254,-89.8767391,9200,400
105.483208,-89.8759144,9300,400
105.756478,-89.8750869,9400,400
106.026126,-89.8742567,9500,400
106.292212,-89.8734239,9600,400
106.554794,-89.8725884,9700,400
106.813931,-89.8717503,9800,400
107.069679,-89.8709097,9900,400
107.322095,-89.8700667,10000,400
107.571234,-89.8692212,10100,400
107.81715,-89.8683734,10200,400
108.059896,-89.8675233,10300,400
108.299525,-89.8666708,10400,400
108.536088,-89.8658162,10500,400
108.769636,-89.8649594,10600,400
109.000219,-89.8641004,10700,400
109.227885,-89.8632393,10800,400
109.452683,-89.8623762,10900,400
109.674659,-89.861511,11000,400
109.89386,-89.8606439,11100,400
110.110332,-89.8597748,11200,400
110.324119,-89.8589039,11300,400
110.535264,-89.858031,11400,400
